****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x2315
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.025	Loglikelihood: -81343.5	(delta): 256639
40 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26025.9	(delta): 1.02137
41 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26024.8	(delta): 1.0837
42 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26023.9	(delta): 0.90717
43 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26020.9	(delta): 3.03911
44 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26020.1	(delta): 0.81579
45 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26016.5	(delta): 3.61191
46 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -26015.9	(delta): 0.557591
47 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26015.3	(delta): 0.562153
48 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26014.8	(delta): 0.571921
49 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -26009.2	(delta): 5.59137
50 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26008.2	(delta): 1.02628
51 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -26007.6	(delta): 0.588271
52 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25999.5	(delta): 8.10294
53 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25998.6	(delta): 0.843114
54 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25993.4	(delta): 5.26553
55 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -25992.4	(delta): 0.977507
56 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25991.2	(delta): 1.1875
57 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25987.3	(delta): 3.88427
58 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25977.9	(delta): 9.43415
59 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25975.4	(delta): 2.45834
60 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25972.7	(delta): 2.73863
61 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25970.2	(delta): 2.4966
62 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25959.2	(delta): 10.9709
63 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25952.7	(delta): 6.48702
64 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25950.5	(delta): 2.20148
65 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25948.3	(delta): 2.26386
66 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25930.3	(delta): 17.9329
67 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25908.2	(delta): 22.0767
68 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25880.8	(delta): 27.4769
69 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -25870.7	(delta): 10.0743
70 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25842.8	(delta): 27.8657
71 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25826.5	(delta): 16.3269
72 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25806.1	(delta): 20.4405
73 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25792.6	(delta): 13.437
74 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -25785.3	(delta): 7.28534
75 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -25777.6	(delta): 7.73127
76 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25705.7	(delta): 71.9395
77 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -25479	(delta): 226.622
78 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -25383.5	(delta): 95.5344
79 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25352.9	(delta): 30.6048
80 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25315.4	(delta): 37.5421
81 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25290.8	(delta): 24.5597
82 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25261.4	(delta): 29.4056
83 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25245.2	(delta): 16.217
84 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25231.8	(delta): 13.3867
85 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25187.9	(delta): 43.8477
86 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25142.6	(delta): 45.3413
87 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25119	(delta): 23.6446
88 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25111	(delta): 8.00725
89 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25103.8	(delta): 7.13954
90 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25093.8	(delta): 10.0586
91 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25066.4	(delta): 27.3107
92 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25039.9	(delta): 26.5572
93 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25028.5	(delta): 11.3444
94 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25015.1	(delta): 13.4438
95 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25007.6	(delta): 7.53043
96 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -25002.5	(delta): 5.02249
97 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24999.1	(delta): 3.4322
98 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24959.2	(delta): 39.9057
99 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24955.1	(delta): 4.14834
100 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24952.6	(delta): 2.48826
101 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -24952.1	(delta): 0.45151
102 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -24950.2	(delta): 1.90572
103 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -24949.5	(delta): 0.74567
104 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24948.4	(delta): 1.09889
105 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24946.6	(delta): 1.77207
106 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -24945.1	(delta): 1.49881
107 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24940.7	(delta): 4.43527
108 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -24939	(delta): 1.64456
109 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.8	(delta): 0.204898
110 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.8	(delta): 0.0224254
111 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.7	(delta): 0.0758936
112 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.5	(delta): 0.198898
113 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.5	(delta): 0.039907
114 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.5	(delta): 0.00704746
115 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.5	(delta): 0.0173884
116 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.119351
117 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.00912058
118 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.00114493
119 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.00187328
120 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.00144736
121 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.0010439
122 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.00307738
123 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.00213208
124 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000648085
125 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000728053
126 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000951635
127 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.0100921
128 (QN/EM) 	Elapsed: 0.028	Loglikelihood: -24938.3	(delta): 0.000201376
129 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000402514
130 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000431784
131 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000364955
132 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000379969
133 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.00301728
134 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000658536
135 (QN/EM) 	Elapsed: 0.026	Loglikelihood: -24938.3	(delta): 0.000185368
136 (QN/EM) 	Elapsed: 0.027	Loglikelihood: -24938.3	(delta): 8.52897e-05
Summary: 
Converged in 136 iterations (3.849 sec)
Loglikelihood: -24938.295162
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	
Pop0	
Pop1	0.626	
Pop2	0.429	0.479	
Pop3	0.631	0.762	0.491	
Pop4	0.647	0.761	0.528	0.768	
Pop5	0.615	0.746	0.479	0.316	0.750	
CV error (K=6): 0.14636
Writing output files.
