****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x1666
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.068	Loglikelihood: -76401	(delta): 156487
98 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10723.4	(delta): 0.759973
99 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10723.1	(delta): 0.304252
100 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10721.6	(delta): 1.53725
101 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10721.6	(delta): 0.0538054
102 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10721.5	(delta): 0.0370221
103 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.4	(delta): 0.0705586
104 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.4	(delta): 0.0956851
105 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10721.3	(delta): 0.0114106
106 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.3	(delta): 0.0203418
107 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.3	(delta): 0.0179971
108 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.3	(delta): 0.0349088
109 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.1	(delta): 0.149209
110 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10721.1	(delta): 0.0241605
111 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.1	(delta): 0.0031572
112 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.1	(delta): 0.00496542
113 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.1	(delta): 0.0089283
114 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.1	(delta): 0.00711833
115 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721.1	(delta): 0.0133776
116 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.021184
117 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10721	(delta): 0.00731982
118 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.00507517
119 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.0185976
120 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10721	(delta): 0.000892002
121 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.00683718
122 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.00527426
123 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.0069876
124 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.00561571
125 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.00685601
126 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.0065773
127 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10721	(delta): 0.0135154
128 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00393773
129 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00620764
130 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00323246
131 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.9	(delta): 0.00765939
132 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00109894
133 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.9	(delta): 0.00536387
134 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00183519
135 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00833582
136 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000819523
137 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.0152797
138 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00140829
139 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00483465
140 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000440592
141 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00253311
142 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00180258
143 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.9	(delta): 0.00715261
144 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10720.9	(delta): 0.000171837
145 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00046911
146 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000937579
147 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00368973
148 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00248414
149 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00052441
150 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00131648
151 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00218646
152 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00244079
153 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000464135
154 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000747342
155 (QN/EM) 	Elapsed: 0.101	Loglikelihood: -10720.9	(delta): 0.0017939
156 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.9	(delta): 0.00287129
157 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000409229
158 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000608804
159 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.9	(delta): 0.00167904
160 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.9	(delta): 0.00224203
161 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.9	(delta): 0.000438858
162 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.000546249
163 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.9	(delta): 0.00118105
164 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.00223834
165 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000430841
166 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000500249
167 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000739832
168 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.00195712
169 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000514226
170 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000433369
171 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000549498
172 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.00159903
173 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000567123
174 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000402329
175 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000429005
176 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.00138632
177 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000591575
178 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000373628
179 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.00037884
180 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.00110497
181 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000640568
182 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000350564
183 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000335937
184 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000928888
185 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000616399
186 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000367579
187 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000288251
188 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000827744
189 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000564297
190 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.00038233
191 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000262279
192 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.00074119
193 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000504941
194 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000389635
195 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000243442
196 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000716587
197 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000434863
198 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000395374
199 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.0002235
200 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000741057
201 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000372438
202 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000400237
203 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000202483
204 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000786636
205 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000322659
206 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000407909
207 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000162489
208 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10720.8	(delta): -2.26602e-06
209 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -10720.8	(delta): -2.30534e-06
210 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -10720.8	(delta): 0.000852107
211 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000533909
212 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 0.000115711
213 (QN/EM) 	Elapsed: 0.099	Loglikelihood: -10720.8	(delta): 5.71158e-05
Summary: 
Converged in 213 iterations (21.83 sec)
Loglikelihood: -10720.822778
Fst divergences between estimated populations: 
	Pop0	Pop1	Pop2	Pop3	Pop4	Pop5	Pop6	Pop7	Pop8	Pop9	Pop10	Pop11	Pop12	Pop13	
Pop0	
Pop1	0.952	
Pop2	0.832	0.812	
Pop3	0.856	0.838	0.735	
Pop4	0.871	0.851	0.746	0.222	
Pop5	0.806	0.784	0.697	0.728	0.738	
Pop6	0.901	0.870	0.768	0.799	0.811	0.735	
Pop7	0.917	0.884	0.779	0.809	0.822	0.746	0.456	
Pop8	0.885	0.864	0.758	0.246	0.285	0.747	0.824	0.835	
Pop9	0.933	0.910	0.811	0.744	0.762	0.790	0.870	0.882	0.777	
Pop10	0.889	0.858	0.756	0.787	0.800	0.722	0.180	0.398	0.813	0.860	
Pop11	0.949	0.917	0.818	0.841	0.853	0.780	0.854	0.869	0.865	0.907	0.841	
Pop12	0.904	0.877	0.777	0.805	0.816	0.467	0.825	0.839	0.828	0.871	0.813	0.871	
Pop13	0.964	0.934	0.836	0.859	0.871	0.779	0.889	0.903	0.883	0.922	0.879	0.928	0.874	
Pop14	0.915	0.882	0.777	0.807	0.820	0.744	0.431	0.231	0.833	0.880	0.383	0.867	0.837	0.901	
CV error (K=15): 0.10656
Writing output files.
